NUMBER,MAG_AUTO,X_IMAGE,Y_IMAGE,CLASS_STAR,FLUX_RADIUS,RA_deg,Dec_deg,GAIA_RA,GAIA_Dec,GAIA_Rmag,Separation_arcsec
3269,20.061,12248.277,29.639,0.957,2.104,9.310,-33.693,9.311,-33.693,19.158,0.815
3271,20.158,8674.165,44.517,0.918,2.140,9.549,-33.692,9.549,-33.692,18.885,0.086
5171,19.641,10716.073,113.070,0.888,2.190,9.413,-33.689,9.413,-33.689,18.368,0.552
5603,20.885,1773.535,117.791,0.936,2.078,10.010,-33.687,10.010,-33.688,20.533,0.454
5673,20.794,10495.109,102.413,0.950,2.135,9.427,-33.689,9.428,-33.689,18.980,0.532
6028,17.052,13147.715,21.544,0.915,2.259,9.250,-33.693,9.250,-33.694,15.401,0.682
6092,18.820,12992.483,67.119,0.862,2.271,9.261,-33.691,9.261,-33.691,17.221,0.697
6346,19.328,7417.633,126.257,0.864,2.219,9.633,-33.688,9.633,-33.688,18.600,0.305
6777,19.680,5942.389,111.655,0.923,3.129,9.731,-33.689,9.731,-33.689,19.518,0.157
6980,21.023,6727.696,184.978,0.919,2.468,9.679,-33.685,9.679,-33.685,19.846,0.287
7261,19.282,11377.952,161.995,0.880,2.193,9.368,-33.686,9.369,-33.686,18.570,0.783
7521,19.500,1921.620,162.584,0.872,2.151,10.000,-33.685,10.000,-33.685,19.059,0.433
7653,18.453,6343.292,104.693,0.966,2.151,9.705,-33.689,9.705,-33.689,17.447,0.116
7721,20.954,4046.099,176.976,0.919,2.399,9.858,-33.685,9.858,-33.685,19.517,0.350
7957,20.203,10967.573,205.986,0.905,2.222,9.396,-33.683,9.396,-33.684,19.122,0.614
8196,17.849,12349.876,143.130,0.860,2.218,9.304,-33.687,9.304,-33.687,17.225,0.810
10472,19.904,13409.497,250.396,0.971,2.176,9.233,-33.681,9.233,-33.681,17.835,0.648
10703,16.157,5956.612,90.222,0.951,2.239,9.730,-33.690,9.730,-33.690,15.712,0.103
10780,19.529,13237.201,275.824,0.919,2.219,9.244,-33.679,9.244,-33.679,19.123,0.627
11344,18.742,14596.810,246.403,0.896,2.309,9.154,-33.681,9.154,-33.681,18.207,0.558
11369,19.605,15532.978,273.347,0.886,2.299,9.091,-33.679,9.091,-33.679,18.225,0.500
11468,21.055,4041.586,308.310,0.939,2.088,9.858,-33.677,9.858,-33.677,19.675,0.285
11636,19.910,13451.190,318.837,0.902,2.186,9.230,-33.677,9.230,-33.677,18.207,0.589
11843,19.713,6223.832,320.142,0.964,2.076,9.713,-33.677,9.713,-33.677,17.678,0.124
11947,20.322,14810.741,326.470,0.892,2.382,9.139,-33.676,9.139,-33.676,19.473,0.422
12283,19.477,14047.254,290.544,0.899,2.355,9.190,-33.678,9.190,-33.679,18.929,0.576
13209,19.538,14098.893,353.151,0.872,2.242,9.187,-33.675,9.187,-33.675,18.895,0.448
13412,16.058,11497.349,158.949,0.996,2.283,9.360,-33.686,9.361,-33.686,15.656,0.741
13608,17.642,13057.969,276.710,0.995,2.228,9.256,-33.679,9.256,-33.679,16.005,0.677
13968,14.532,10922.420,102.766,0.977,3.323,9.399,-33.689,9.399,-33.689,13.801,0.630
14074,17.479,2633.164,260.967,0.876,2.241,9.952,-33.680,9.952,-33.680,16.346,0.377
14123,15.033,14358.418,162.732,0.997,2.662,9.169,-33.685,9.170,-33.686,14.362,0.548
14275,18.957,16189.909,371.501,0.995,2.429,9.047,-33.673,9.047,-33.674,17.671,0.420
14448,20.320,7960.751,437.724,0.919,2.151,9.597,-33.671,9.597,-33.671,19.276,0.240
14537,20.968,13630.409,448.184,0.968,2.152,9.218,-33.670,9.218,-33.670,19.618,0.563
