NUMBER,MAG_AUTO,X_IMAGE,Y_IMAGE,CLASS_STAR,FLUX_RADIUS,RA_deg,Dec_deg,GAIA_RA,GAIA_Dec,GAIA_Gmag,GAIA_StarProb,Separation_arcsec
3,12.007,16371.092,366.892,0.845,13.421,9.035,-33.674,9.035,-33.673,11.594,1.000,0.959
5,13.728,13697.150,158.460,0.940,5.031,9.214,-33.686,9.214,-33.686,13.400,1.000,0.600
7,15.046,14358.342,162.818,0.997,2.609,9.169,-33.685,9.170,-33.686,15.020,1.000,0.545
8,16.081,11497.345,159.053,0.988,2.250,9.360,-33.686,9.361,-33.686,16.053,1.000,0.748
9,14.540,10922.440,102.807,0.980,3.292,9.399,-33.689,9.399,-33.689,14.297,1.000,0.636
13,16.177,5956.615,90.214,0.989,2.196,9.730,-33.690,9.730,-33.690,16.187,1.000,0.104
19,20.213,8674.247,44.551,0.978,2.037,9.549,-33.692,9.549,-33.692,19.913,1.000,0.104
21,17.077,13147.641,21.401,0.977,2.200,9.250,-33.694,9.250,-33.694,16.556,0.998,0.651
22,20.086,12248.341,29.710,0.985,2.044,9.310,-33.693,9.311,-33.693,19.983,1.000,0.834
49,18.846,12992.506,67.117,0.943,2.217,9.261,-33.691,9.261,-33.691,18.534,1.000,0.700
83,18.474,6343.283,104.807,0.909,2.150,9.705,-33.689,9.705,-33.689,18.394,1.000,0.108
102,19.782,5942.304,111.739,0.921,2.727,9.731,-33.689,9.731,-33.689,19.999,1.000,0.134
131,19.671,10716.096,113.074,0.975,2.118,9.413,-33.689,9.413,-33.689,19.381,1.000,0.556
140,17.874,12349.842,143.144,0.915,2.181,9.304,-33.687,9.304,-33.687,17.890,1.000,0.806
141,20.872,10495.081,102.273,0.982,2.002,9.427,-33.689,9.428,-33.689,20.147,1.000,0.518
148,19.371,7417.632,126.150,0.952,2.136,9.633,-33.688,9.633,-33.688,19.333,1.000,0.315
168,20.933,1773.538,117.846,0.982,1.999,10.010,-33.687,10.010,-33.688,20.879,0.996,0.465
210,19.312,11377.929,161.895,0.978,2.121,9.368,-33.686,9.369,-33.686,19.293,1.000,0.771
216,19.535,1921.601,162.682,0.968,2.092,10.000,-33.685,10.000,-33.685,19.461,1.000,0.450
256,20.999,4046.073,176.950,0.957,2.313,9.858,-33.685,9.858,-33.685,20.653,1.000,0.344
277,15.504,11241.955,370.738,0.998,2.355,9.378,-33.674,9.378,-33.674,15.523,1.000,0.645
279,21.063,6727.571,184.998,0.951,2.374,9.679,-33.685,9.679,-33.685,21.024,0.999,0.263
286,20.262,10967.634,205.776,0.981,2.103,9.396,-33.683,9.396,-33.684,20.106,1.000,0.611
315,17.496,2633.057,260.923,0.944,2.208,9.952,-33.680,9.952,-33.680,17.332,1.000,0.359
336,18.776,14596.658,246.359,0.985,2.226,9.154,-33.681,9.154,-33.681,18.757,1.000,0.528
348,17.669,13057.940,276.685,0.952,2.185,9.256,-33.679,9.256,-33.679,17.150,0.999,0.669
362,19.945,13409.446,250.382,0.981,2.095,9.233,-33.681,9.233,-33.681,19.098,1.000,0.638
388,19.554,13237.165,275.836,0.974,2.187,9.244,-33.679,9.244,-33.679,19.502,1.000,0.623
389,19.634,15532.989,273.281,0.949,2.255,9.091,-33.679,9.091,-33.679,19.288,1.000,0.494
408,19.512,14047.332,290.509,0.900,2.284,9.190,-33.678,9.190,-33.679,19.525,1.000,0.583
463,19.741,6223.850,320.125,0.981,2.023,9.713,-33.677,9.713,-33.677,18.916,1.000,0.127
464,21.120,4041.733,308.432,0.984,1.963,9.858,-33.677,9.858,-33.677,20.743,1.000,0.318
468,19.956,13451.207,318.827,0.980,2.102,9.230,-33.677,9.230,-33.677,19.366,1.000,0.591
479,17.400,10914.994,373.719,0.940,2.189,9.399,-33.674,9.400,-33.674,17.380,1.000,0.530
480,20.379,14810.766,326.598,0.973,2.263,9.139,-33.676,9.139,-33.676,20.795,0.999,0.438
510,19.574,14099.072,353.176,0.965,2.168,9.187,-33.675,9.187,-33.675,19.533,1.000,0.477
523,16.311,13079.954,461.046,0.920,2.251,9.255,-33.669,9.255,-33.669,16.357,1.000,0.602
524,19.007,16189.932,371.437,0.895,2.314,9.047,-33.673,9.047,-33.674,18.711,1.000,0.416
563,17.684,14254.044,429.301,0.904,2.245,9.176,-33.671,9.177,-33.671,17.608,1.000,0.524
638,15.830,5718.744,582.442,0.959,2.303,9.746,-33.662,9.746,-33.662,15.850,1.000,0.129
647,19.896,15780.081,436.774,0.972,2.231,9.075,-33.670,9.075,-33.670,19.717,1.000,0.445
656,20.361,7960.773,437.702,0.982,2.083,9.597,-33.671,9.597,-33.671,20.251,1.000,0.245
668,14.034,14345.779,703.539,0.981,4.024,9.170,-33.655,9.171,-33.655,13.746,1.000,0.451
677,20.569,8087.494,452.165,0.982,2.032,9.588,-33.670,9.588,-33.670,20.342,1.000,0.229
681,21.022,13630.453,448.207,0.982,2.064,9.218,-33.670,9.218,-33.670,20.670,1.000,0.572
